business_id,name,normalized_name,rating,review_count,rating_band,rating_reliability,price,price_level,price_tier,value_score,hidden_gem,shop_type,popularity_band,categories,address,address1,city,state,zip_code,latitude,longitude,phone,yelp_url,image_url
'YItzldHiPfZMpNnT0tBmcg,The Coffee Bar,the coffee bar,4.2,375,4.0-4.4,50+ reviews,$$,2,Moderate,71.27,No,Chain,High: 200-499 reviews,Coffee & Tea,"1201 S St NW, Washington, DC 20009",1201 S St NW,"Washington, DC",DC,20009,38.9143154,-77.02826991,(202) 733-1049,https://www.yelp.com/biz/the-coffee-bar-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/GBDpFQ64kWg-Lf0g9ED40w/o.jpg
'EDcqUYaIOksw0Obyz0Fz6w,Unido Panama Coffee Roasters,unido panama coffee roasters,4.1,82,4.0-4.4,50+ reviews,$$,2,Moderate,66.59,No,Chain,Medium: 50-199 reviews,Coffee & Tea,"1280 4th St NE, Washington, DC 20002",1280 4th St NE,"Washington, DC",DC,20002,38.908986,-76.999617,,https://www.yelp.com/biz/unido-panama-coffee-roasters-washington-2?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/jo0qrKUKIScWj6_Sih4MDg/o.jpg
'IbClzKopEMRfGx9NQCV4cw,maman,maman,4.1,222,4.0-4.4,50+ reviews,$$,2,Moderate,68.61,No,Chain,High: 200-499 reviews,"Coffee & Tea, Breakfast & Brunch, Bakeries","750 9th St NW, Ste 101, Washington, DC 20036",750 9th St NW,"Washington, DC",DC,20036,38.8994272,-77.02447725,(202) 516-4666,https://www.yelp.com/biz/maman-washington-3?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/5UMDOURboToJ5cthFRsnWA/o.jpg
'X10HlZuSDXOQxiQJQyqFIQ,Cool Coffee,cool coffee,4.8,33,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,Yes,Independent / Local,Low: under 50 reviews,Coffee & Tea,"3901 12th St NE, Washington, DC 20017",3901 12th St NE,"Washington, DC",DC,20017,38.93740867,-76.99038405,,https://www.yelp.com/biz/cool-coffee-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/I72pjKR_W9alLg201FfiJg/o.jpg
'UFjbGG5nINRK91IIWZ_Ceg,Slipstream,slipstream,3.8,621,3.5-3.9,50+ reviews,$$,2,Moderate,65.89,No,Chain,Very high: 500+ reviews,"Coffee & Tea, Cocktail Bars","1333 14th St NW, Washington, DC 20005",1333 14th St NW,"Washington, DC",DC,20005,38.90987958,-77.03157736,(202) 450-2216,https://www.yelp.com/biz/slipstream-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/jkbghzGHCgksUTtLRrjoaw/o.jpg
'Es64Je53efmpWh-BXHjguQ,Baked & Wired,baked and wired,4.4,5350,4.0-4.4,50+ reviews,$$,2,Moderate,79.88,No,Independent / Local,Very high: 500+ reviews,"Bakeries, Coffee & Tea, Cupcakes","1052 Thomas Jefferson St NW, Washington, DC 20007",1052 Thomas Jefferson St NW,"Washington, DC",DC,20007,38.90391285,-77.06024778,(703) 663-8727,https://www.yelp.com/biz/baked-and-wired-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/ToMCaJaIjFKwjZ3t0G-x7A/o.jpg
'zVETA8_sJrcBPu0Q1wmUtQ,Youebe Cafe,youebe cafe,4.7,25,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,Yes,Independent / Local,Low: under 50 reviews,"Coffee & Tea, Breakfast & Brunch, Salad","3500 14th St NW, Washington, DC 20010",3500 14th St NW,"Washington, DC",DC,20010,38.93487648,-77.033013,(202) 507-8148,https://www.yelp.com/biz/youebe-cafe-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/j1INJxJrCYRzwtUUqY4GKA/o.jpg
'2fMyvwzjbJ6wM3V-ckfaJA,Tous Les Jours,tous les jours,4.5,29,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,Yes,Chain,Low: under 50 reviews,"Coffee & Tea, Bakeries, Desserts","550 Morse St NE, Ste 130, Washington, DC 20002",550 Morse St NE,"Washington, DC",DC,20002,38.907282,-76.998243,(227) 284-1305,https://www.yelp.com/biz/tous-les-jours-washington-2?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/h5G4EsL45NnMqOpZRhlMoA/o.jpg
'dwdOvTaaxjjoaFrx7IeQaw,The Ministry,the ministry,4.3,134,4.0-4.4,50+ reviews,$$,2,Moderate,70.79,No,Independent / Local,Medium: 50-199 reviews,"Coffee & Tea, Wine Bars, Bakeries, Coffee & Tea, Wine Bars, Bakeries","601 New Jersey Ave NW, Washington, DC 20001",601 New Jersey Ave NW,"Washington, DC",DC,20001,38.8978502,-77.011664,(202) 813-3951,https://www.yelp.com/biz/the-ministry-washington-2?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/gfyJLjYCQbJZ_Ba51UaiHQ/o.jpg
'OXc3s2BP0hLoX_ju3ORuPQ,Simona cafe,simona cafe,4.1,63,4.0-4.4,50+ reviews,Unknown,,Unknown,,No,Chain,Medium: 50-199 reviews,"Coffee & Tea, Bakeries, Breakfast & Brunch","35 N St NE, Washington, DC 20002",35 N St NE,"Washington, DC",DC,20002,38.90702,-77.0076,(202) 817-3969,https://www.yelp.com/biz/simona-cafe-washington-5?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/fjX1MJH-__hPeBG2t2ryUg/o.jpg
'9YBiqRds8JDE1Ms6NDZa-A,La Colombe,la colombe,4.1,327,4.0-4.4,50+ reviews,$$,2,Moderate,69.39,No,Chain,High: 200-499 reviews,Coffee & Tea,"900 6th St NW, Washington, DC 20001",900 6th St NW,"Washington, DC",DC,20001,38.90105057,-77.02010345,(202) 795-7909,https://www.yelp.com/biz/la-colombe-washington-9?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/FDBEoyIR0tk5v05TIbs3FQ/o.jpg
'NcmjENoGfQFPuBJBxVhR1g,Lavazza,lavazza,3.9,28,3.5-3.9,Under 50 reviews,Unknown,,Unknown,,No,Chain,Low: under 50 reviews,"Creperies, Coffee & Tea, Gelato","2302 Wisconsin Ave NW, Washington, DC 20007",2302 Wisconsin Ave NW,"Washington, DC",DC,20007,38.9202,-77.07177,,https://www.yelp.com/biz/lavazza-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/S4kVToStWBfgX-RkaHlmhw/o.jpg
'MXevZNlkpEASkR3G5wDi_Q,Ebenezers Coffeehouse,ebenezers coffeehouse,4.1,613,4.0-4.4,50+ reviews,$$,2,Moderate,70.67,No,Independent / Local,Very high: 500+ reviews,Coffee & Tea,"201 F St NE, Washington, DC 20002",201 F St NE,"Washington, DC",DC,20002,38.89712871,-77.00328581,(202) 558-6900,https://www.yelp.com/biz/ebenezers-coffeehouse-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/Vu2BZOqQVl9BzeSwVHHnXw/o.jpg
'M1MD7m94ACx3EiDmzzDRFQ,Aslin Coffee,aslin coffee,4,22,4.0-4.4,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,Coffee & Tea,"1740 14th St NW, Washington, DC 20009",1740 14th St NW,"Washington, DC",DC,20009,38.91392,-77.03255,(202) 290-1516,https://www.yelp.com/biz/aslin-coffee-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/rrAbT1A08UXBm3AzUgKFFQ/o.jpg
'rrCYeba9B2HeIOxJ37YvAw,La Colombe,la colombe,4.3,565,4.0-4.4,50+ reviews,$$,2,Moderate,73.7,No,Chain,Very high: 500+ reviews,"Coffee & Tea, Desserts, Breakfast & Brunch","924 Rear N St NW, Washington, DC 20001",924 Rear N St NW,"Washington, DC",DC,20001,38.90695,-77.02492,(202) 289-4850,https://www.yelp.com/biz/la-colombe-washington-8?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/sdmYjKg36Q9sSUFYoNqYFw/o.jpg
'6AOuv4-W8gke8jjqro8eeQ,Tatte Bakery & Cafe | DC Catering,tatte bakery and cafe dc catering,4.2,468,4.0-4.4,50+ reviews,$$,2,Moderate,71.72,No,Chain,High: 200-499 reviews,"Coffee & Tea, Breakfast & Brunch, Bakeries","1090 I St NW, Washington, DC 20001",1090 I St NW,"Washington, DC",DC,20001,38.9006499,-77.0267439,(617) 945-1205,https://www.yelp.com/biz/tatte-bakery-and-cafe-washington-5?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/zRe2R7kpccUU2eNt2Mdocg/o.jpg
'0vZNEMGn9f9PXd9nhNRlbA,Doubles,doubles,4.5,225,4.5-5.0,50+ reviews,$,1,Budget,83.03,No,Independent / Local,High: 200-499 reviews,"Coffee & Tea, Cafes, Bars","3118 Georgia Ave NW, Washington, DC 20010",3118 Georgia Ave NW,"Washington, DC",DC,20010,38.92960295,-77.02356096,(202) 722-7202,https://www.yelp.com/biz/doubles-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/p3olcEsj6g_w_AdFyk55qQ/o.jpg
'9XarsINQKLLJZ9ycVx6uGw,For Five Coffee Roasters,for five coffee roasters,3.9,63,3.5-3.9,50+ reviews,$$,2,Moderate,62.87,No,Chain,Medium: 50-199 reviews,"Coffee Roasteries, Coffee & Tea, Breakfast & Brunch","901 K St NW, Washington, DC 20001",901 K St NW,"Washington, DC",DC,20001,38.90278845,-77.02548093,,https://www.yelp.com/biz/for-five-coffee-roasters-washington-8?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/t0S7FoyYZOg4TOAKIiITLA/o.jpg
'UKAagcQSoG8aH0JP8nHcOg,The Royal,the royal,4.2,443,4.0-4.4,50+ reviews,$$,2,Moderate,71.61,No,Independent / Local,High: 200-499 reviews,"Coffee & Tea, Latin American, Cocktail Bars","501 Florida Ave NW, Washington, DC 20001",501 Florida Ave NW,"Washington, DC",DC,20001,38.91504288,-77.01857758,(202) 332-7777,https://www.yelp.com/biz/the-royal-washington-2?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/aWfHOGj4Dhv88BL-YHcLXg/o.jpg
'JJx94d7m-1_42rKooHdTTQ,Civic On Eighth,civic on eighth,4.6,30,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,Yes,Independent / Local,Low: under 50 reviews,"Cocktail Bars, Coffee & Tea","501 8th St SE, Washington, DC 20003",501 8th St SE,"Washington, DC",DC,20003,38.88260274,-76.9952687,,https://www.yelp.com/biz/civic-on-eighth-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/qVLCV_LwxL8ceTszgpxVaA/o.jpg
'f6SnScIxTjr5ggd32ZfL5A,Little Hat Coffee,little hat coffee,4.7,53,4.5-5.0,50+ reviews,Unknown,,Unknown,,Yes,Independent / Local,Medium: 50-199 reviews,"Coffee & Tea, Breakfast & Brunch, Pop-Up Restaurants","2400 14th St NW, Washington, DC 20009",2400 14th St NW,"Washington, DC",DC,20009,38.92076,-77.03209,,https://www.yelp.com/biz/little-hat-coffee-washington-2?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/pWYVZyBmGHSY3lGA2nH0wA/o.jpg
'-NXX5IAMlIP3yRIAyStVJg,DRiP Cà Phê,drip ca phe,4.5,178,4.5-5.0,50+ reviews,$$,2,Moderate,74.56,No,Independent / Local,Medium: 50-199 reviews,Coffee & Tea,"4230 Annandale Rd, Ste 160, Annandale, VA 22003",4230 Annandale Rd,Annandale,VA,22003,38.83131982,-77.19717615,,https://www.yelp.com/biz/drip-c%C3%A0-ph%C3%AA-annandale?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/xoYpY53W6QqtHONY6XVgCw/o.jpg
'hoRmiid97eZ3dj3zcNWqFw,Slipstream,slipstream,4.3,21,4.0-4.4,Under 50 reviews,Unknown,,Unknown,,No,Chain,Low: under 50 reviews,Coffee & Tea,"1210 I St NW, Washington, DC 20005",1210 I St NW,"Washington, DC",DC,20005,38.90128229,-77.02877982,,https://www.yelp.com/biz/slipstream-washington-7?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/rLF-obl-4kMELPrFCgHbjQ/o.jpg
'pSYCI8MwR-1W7xjAGJDgUQ,Pluma By Bluebird Bakery,pluma by bluebird bakery,4.3,239,4.0-4.4,50+ reviews,$$,2,Moderate,71.96,No,Chain,High: 200-499 reviews,"Bakeries, Coffee & Tea","391 Morse St NE, Washington, DC 20002",391 Morse St NE,"Washington, DC",DC,20002,38.9079776,-77.00036339,,https://www.yelp.com/biz/pluma-by-bluebird-bakery-washington-2?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/_pz3H8spWdSCp2zQFf00nA/o.jpg
'Ne6zAVweeVO8Wl9oFDqKSA,Three Fifty Bakery and Coffee Bar,three fifty bakery and coffee bar,4.5,376,4.5-5.0,50+ reviews,$$,2,Moderate,76.08,No,Independent / Local,High: 200-499 reviews,"Desserts, Bakeries, Coffee & Tea","1641 R St NW, Ste B, Washington, DC 20009",1641 R St NW,"Washington, DC",DC,20009,38.91275337,-77.0382126,(202) 629-1022,https://www.yelp.com/biz/three-fifty-bakery-and-coffee-bar-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/jN32g7ACEozuYeYfyuh1bQ/o.jpg
'qrTvx18xrMNUR3QUjdraxQ,Tatte Bakery & Cafe | Capitol Crossing,tatte bakery and cafe capitol crossing,4,267,4.0-4.4,50+ reviews,$$,2,Moderate,67.38,No,Chain,High: 200-499 reviews,"Breakfast & Brunch, Bakeries, Coffee & Tea","250 Massachusetts Ave NW, Washington, DC 20001",250 Massachusetts Ave NW,"Washington, DC",DC,20001,38.89926371,-77.01469719,(202) 733-2387,https://www.yelp.com/biz/tatte-bakery-and-cafe-washington-4?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/vg77UaxkguqnOqkKgu2gCw/o.jpg
'rdoFOY-u_CjcFaheVfVQ9Q,Lapop,lapop,4.1,46,4.0-4.4,Under 50 reviews,$$,2,Moderate,65.44,No,Independent / Local,Low: under 50 reviews,"Coffee & Tea, Cultural Center, Cocktail Bars","1847 Columbia Rd NW, Washington, DC 20000",1847 Columbia Rd NW,"Washington, DC",DC,20000,38.92132932,-77.04383458,(202) 999-6216,https://www.yelp.com/biz/lapop-washington-2?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/XHtRlbt_b8ezD-AZ6zt18Q/o.jpg
'7LYMDZmUMUqPvetrtyUbFw,La Coop Coffee,la coop coffee,4,21,4.0-4.4,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,Coffee & Tea,"500 Kennedy St NW, Washington, DC 20011",500 Kennedy St NW,"Washington, DC",DC,20011,38.95624185,-77.0200796,(202) 921-9202,https://www.yelp.com/biz/la-coop-coffee-washington-3?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/a0D-ztnaqTZ4CraTFrwvsA/o.jpg
'bhDQ1KwyISFOrpTcLVLP9w,Three Whistles,three whistles,4.7,6,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,"Coffee & Tea, Shared Office Spaces, Bagels","5832 Georgia Ave NW, Ste C1, Washington, DC 20011",5832 Georgia Ave NW,"Washington, DC",DC,20011,38.9609396,-77.0284726,,https://www.yelp.com/biz/three-whistles-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/8J9GZ0cnjvGjjYBx-vb59w/o.jpg
'5oj3up-19mcuqQwfTfujow,Black Crown Collective,black crown collective,4.8,10,4.5-5.0,Under 50 reviews,Unknown,,Unknown,,No,Independent / Local,Low: under 50 reviews,Coffee & Tea,"27 Independence Ave SE, 220 Cannon Fl 2, Washington, DC 20515",27 Independence Ave SE,"Washington, DC",DC,20515,38.88619654,-77.00699916,,https://www.yelp.com/biz/black-crown-collective-washington?adjust_creative=47RyEb0sp6jrPw4V0oZejg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=47RyEb0sp6jrPw4V0oZejg,https://s3-media0.fl.yelpcdn.com/bphoto/A0fbEHt-o0_gqZye5eGX1w/o.jpg
